"exercicio";"uo_cod";"uo_desc";"fonte_cod";"fonte_desc";"rp_cod";"rp_desc";"gnd_cod";"gnd_desc";"ploa";"loa";"loa_mais_credito";"empenhado";"liquidado";"pago"
2026;"71906";"Fundo Especial de Financiamento de Campanhas";"1000";"Recursos Livres da União";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";1013856806;4961519777;4961519777;4961519777;4954904417;4954904417
2026;"74916";"Recursos sob Supervisão do Fundo Nacional sobre Mudança do Clima/FNMC - MMA";"3020";"Sinalização, Engenharia de Tráfego e de Campo, Policiamento, Fiscalização e Educação de Trânsito";"0";"Financeira";"5";"Inversões Financeiras";0;0;79106518;79106518;79106518;79106518
2026;"74902";"Recursos sob Supervisão do Fundo de Financiamento ao Estudante do Ensino Superior/FIES - Min. da Educação";"1000";"Recursos Livres da União";"2";"Primária discricionária, considerada no cálculo do RP";"3";"Outras Despesas Correntes";377500000;377500000;340337725;189160645;180352019;179471388
2026;"74916";"Recursos sob Supervisão do Fundo Nacional sobre Mudança do Clima/FNMC - MMA";"3050";"Recursos Próprios Livres da UO";"0";"Financeira";"5";"Inversões Financeiras";0;0;2017649245;2017649245;2017649245;2017649245
2026;"55901";"Fundo Nacional de Assistência Social";"3000";"Recursos Livres da União";"2";"Primária discricionária, considerada no cálculo do RP";"4";"Investimentos";0;0;5764800;5764800;1264800;1264800
2026;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1107";"CT-Petro e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";"2";"Primária discricionária, considerada no cálculo do RP";"4";"Investimentos";77770617;91767271;81322481;66834156;28197332;22841616
2026;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"3050";"Recursos Próprios Livres da UO";"3";"Primária discricionária, PAC, considerada no cálculo do RP";"4";"Investimentos";0;0;13302;13302;0;0
2026;"52921";"Fundo do Exército";"1005";"Assistência Médico-Hospitalar dos Militares das Forças Armadas";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";1776514248;1776514248;1467878514;930684248;886003374;881216296
2026;"52931";"Fundo Naval";"1115";"Projetos do Comando da Marinha para Construção e Reparos de Embarcações em Estaleiros Brasileiros";"2";"Primária discricionária, considerada no cálculo do RP";"3";"Outras Despesas Correntes";298265282;298265282;232443075;24875668;14698463;14327436
2026;"74920";"Recursos sob Supervisão do Fundo de Universalização dos Serviços de Telecomunicações - FUST – M. Comunicações";"1044";"Recursos do FISTEL destinados ao FUST";"0";"Financeira";"5";"Inversões Financeiras";173067935;173067935;173067935;0;0;0
